source,target,value
washingtonexaminer.com,fbcdn.net,1
fbcdn.net,facebook.com,1
todoist.com,fbcdn.net,1
fbcdn.net,facebook.com,1
alltrails.com,fbcdn.net,1
fbcdn.net,facebook.com,1
apartments.com,fbcdn.net,1
fbcdn.net,facebook.com,1
hostinger.in,fbcdn.net,1
fbcdn.net,facebook.com,1
daraz.pk,fbcdn.net,1
fbcdn.net,facebook.com,1
bhg.com,fbcdn.net,1
fbcdn.net,facebook.com,1
signupgenius.com,fbcdn.net,1
fbcdn.net,facebook.com,1
doodle.com,fbcdn.net,1
fbcdn.net,facebook.com,1
sendpulse.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ora.com,fbcdn.net,1
fbcdn.net,facebook.com,1
milliyet.com.tr,fbcdn.net,1
fbcdn.net,facebook.com,1
allmusic.com,fbcdn.net,1
fbcdn.net,facebook.com,1
inven.co.kr,fbcdn.net,1
fbcdn.net,facebook.com,1
icons8.com,fbcdn.net,1
fbcdn.net,facebook.com,1
wish.com,fbcdn.net,1
fbcdn.net,facebook.com,1
qodeinteractive.com,fbcdn.net,1
fbcdn.net,facebook.com,1
likee.video,fbcdn.net,1
fbcdn.net,facebook.com,1
newatlas.com,fbcdn.net,1
fbcdn.net,facebook.com,1
picsart.com,fbcdn.net,1
fbcdn.net,facebook.com,1
ecwid.com,fbcdn.net,1
fbcdn.net,facebook.com,1
theaustralian.com.au,fbcdn.net,1
fbcdn.net,facebook.com,1
warthunder.com,fbcdn.net,1
fbcdn.net,facebook.com,1
sacbee.com,fbcdn.net,1
fbcdn.net,facebook.com,1
mainichi.jp,fbcdn.net,1
fbcdn.net,facebook.com,1
takealot.com,fbcdn.net,1
fbcdn.net,facebook.com,1
active.com,fbcdn.net,1
fbcdn.net,facebook.com,1
al.com,fbcdn.net,1
fbcdn.net,facebook.com,1
banggood.com,fbcdn.net,1
fbcdn.net,facebook.com,1
priceline.com,fbcdn.net,1
fbcdn.net,facebook.com,1
strikingly.com,fbcdn.net,1
fbcdn.net,facebook.com,1
hackernoon.com,fbcdn.net,1
fbcdn.net,facebook.com,1
avon.com,fbcdn.net,1
fbcdn.net,facebook.com,1
petfinder.com,fbcdn.net,1
fbcdn.net,facebook.com,1
subscene.com,fbcdn.net,1
fbcdn.net,facebook.com,1
pearltrees.com,fbcdn.net,1
fbcdn.net,facebook.com,1
esri.com,fbcdn.net,1
fbcdn.net,facebook.com,1
shopee.sg,fbcdn.net,1
fbcdn.net,facebook.com,1
telegraaf.nl,fbcdn.net,1
fbcdn.net,facebook.com,1
copy.ai,fbcdn.net,1
fbcdn.net,facebook.com,1
site123.me,fbcdn.net,1
fbcdn.net,facebook.com,1
webofscience.com,fbcdn.net,1
fbcdn.net,facebook.com,1
masterclass.com,fbcdn.net,1
fbcdn.net,facebook.com,1
preply.com,fbcdn.net,1
fbcdn.net,facebook.com,1
avclub.com,fbcdn.net,1
fbcdn.net,facebook.com,1
corporatefinanceinstitute.com,fbcdn.net,1
fbcdn.net,facebook.com,1
sun-sentinel.com,fbcdn.net,1
fbcdn.net,facebook.com,1
etoro.com,fbcdn.net,1
fbcdn.net,facebook.com,1
beacons.ai,fbcdn.net,1
fbcdn.net,facebook.com,1
calm.com,fbcdn.net,1
fbcdn.net,facebook.com,1
hypebeast.com,fbcdn.net,1
fbcdn.net,facebook.com,1
code.org,fbcdn.net,1
fbcdn.net,facebook.com,1
epicgames.dev,fbcdn.net,1
fbcdn.net,facebook.com,1
autotrader.com,fbcdn.net,1
fbcdn.net,facebook.com,1
lazada.sg,fbcdn.net,1
fbcdn.net,facebook.com,1
ameba.jp,fbcdn.net,1
fbcdn.net,facebook.com,1
spanishdict.com,fbcdn.net,1
fbcdn.net,facebook.com,1
europepmc.org,fbcdn.net,1
fbcdn.net,facebook.com,1
hotwire.com,fbcdn.net,1
fbcdn.net,facebook.com,1
financialpost.com,fbcdn.net,1
fbcdn.net,facebook.com,1
creativemarket.com,fbcdn.net,1
fbcdn.net,facebook.com,1
prothomalo.com,fbcdn.net,1
fbcdn.net,facebook.com,1
newsbreak.com,fbcdn.net,1
fbcdn.net,facebook.com,1
swissinfo.ch,fbcdn.net,1
fbcdn.net,facebook.com,1
pmi.org,fbcdn.net,1
fbcdn.net,facebook.com,1
techspot.com,fbcdn.net,1
fbcdn.net,facebook.com,1
inews.co.uk,fbcdn.net,1
fbcdn.net,facebook.com,1
retailmenot.com,fbcdn.net,1
fbcdn.net,facebook.com,1
dagbladet.no,fbcdn.net,1
fbcdn.net,facebook.com,1
reviewjournal.com,fbcdn.net,1
fbcdn.net,facebook.com,1
postermywall.com,fbcdn.net,1
fbcdn.net,facebook.com,1
tvguide.com,fbcdn.net,1
